,city,year,month,day,temperature
0,KRAKÓW-OBSERWATORIUM,2001,1,1,-3.8
1,KRAKÓW-OBSERWATORIUM,2001,1,2,-2.6
2,KRAKÓW-OBSERWATORIUM,2001,1,3,-1.2
3,KRAKÓW-OBSERWATORIUM,2001,1,4,3.2
4,KRAKÓW-OBSERWATORIUM,2001,1,5,2.1
5,KRAKÓW-OBSERWATORIUM,2001,1,6,4.9
6,KRAKÓW-OBSERWATORIUM,2001,1,7,4.5
7,KRAKÓW-OBSERWATORIUM,2001,1,8,3.8
8,KRAKÓW-OBSERWATORIUM,2001,1,9,1.7
9,KRAKÓW-OBSERWATORIUM,2001,1,10,1.4
10,KRAKÓW-OBSERWATORIUM,2001,1,11,0.1
11,KRAKÓW-OBSERWATORIUM,2001,1,12,-1.3
12,KRAKÓW-OBSERWATORIUM,2001,1,13,-1.6
13,KRAKÓW-OBSERWATORIUM,2001,1,14,-3.7
14,KRAKÓW-OBSERWATORIUM,2001,1,15,-3.1
15,KRAKÓW-OBSERWATORIUM,2001,1,16,-2.6
16,KRAKÓW-OBSERWATORIUM,2001,1,17,-5.4
17,KRAKÓW-OBSERWATORIUM,2001,1,18,-6.1
18,KRAKÓW-OBSERWATORIUM,2001,1,19,-6.6
19,KRAKÓW-OBSERWATORIUM,2001,1,20,-4.3
20,KRAKÓW-OBSERWATORIUM,2001,1,21,-4.6
21,KRAKÓW-OBSERWATORIUM,2001,1,22,-3.4
22,KRAKÓW-OBSERWATORIUM,2001,1,23,-1.1
23,KRAKÓW-OBSERWATORIUM,2001,1,24,0.9
24,KRAKÓW-OBSERWATORIUM,2001,1,25,3.5
25,KRAKÓW-OBSERWATORIUM,2001,1,26,4.5
26,KRAKÓW-OBSERWATORIUM,2001,1,27,2.2
27,KRAKÓW-OBSERWATORIUM,2001,1,28,2.7
28,KRAKÓW-OBSERWATORIUM,2001,1,29,1.3
29,KRAKÓW-OBSERWATORIUM,2001,1,30,0.6
30,KRAKÓW-OBSERWATORIUM,2001,1,31,0.0
31,KRAKÓW-OBSERWATORIUM,2001,2,1,-1.4
32,KRAKÓW-OBSERWATORIUM,2001,2,2,-1.9
33,KRAKÓW-OBSERWATORIUM,2001,2,3,-6.9
34,KRAKÓW-OBSERWATORIUM,2001,2,4,-5.5
35,KRAKÓW-OBSERWATORIUM,2001,2,5,0.9
36,KRAKÓW-OBSERWATORIUM,2001,2,6,5.1
37,KRAKÓW-OBSERWATORIUM,2001,2,7,4.8
38,KRAKÓW-OBSERWATORIUM,2001,2,8,6.2
39,KRAKÓW-OBSERWATORIUM,2001,2,9,6.9
40,KRAKÓW-OBSERWATORIUM,2001,2,10,5.5
41,KRAKÓW-OBSERWATORIUM,2001,2,11,0.4
42,KRAKÓW-OBSERWATORIUM,2001,2,12,4.3
43,KRAKÓW-OBSERWATORIUM,2001,2,13,4.9
44,KRAKÓW-OBSERWATORIUM,2001,2,14,3.3
45,KRAKÓW-OBSERWATORIUM,2001,2,15,3.6
46,KRAKÓW-OBSERWATORIUM,2001,2,16,3.2
47,KRAKÓW-OBSERWATORIUM,2001,2,17,0.2
48,KRAKÓW-OBSERWATORIUM,2001,2,18,-0.1
49,KRAKÓW-OBSERWATORIUM,2001,2,19,0.7
50,KRAKÓW-OBSERWATORIUM,2001,2,20,1.6
51,KRAKÓW-OBSERWATORIUM,2001,2,21,1.7
52,KRAKÓW-OBSERWATORIUM,2001,2,22,0.5
53,KRAKÓW-OBSERWATORIUM,2001,2,23,-1.5
54,KRAKÓW-OBSERWATORIUM,2001,2,24,-4.0
55,KRAKÓW-OBSERWATORIUM,2001,2,25,-6.4
56,KRAKÓW-OBSERWATORIUM,2001,2,26,-6.4
57,KRAKÓW-OBSERWATORIUM,2001,2,27,-2.7
58,KRAKÓW-OBSERWATORIUM,2001,2,28,-3.7
59,KRAKÓW-OBSERWATORIUM,2001,3,1,1.3
60,KRAKÓW-OBSERWATORIUM,2001,3,2,0.7
61,KRAKÓW-OBSERWATORIUM,2001,3,3,1.7
62,KRAKÓW-OBSERWATORIUM,2001,3,4,3.4
63,KRAKÓW-OBSERWATORIUM,2001,3,5,3.1
64,KRAKÓW-OBSERWATORIUM,2001,3,6,0.9
65,KRAKÓW-OBSERWATORIUM,2001,3,7,2.3
66,KRAKÓW-OBSERWATORIUM,2001,3,8,5.2
67,KRAKÓW-OBSERWATORIUM,2001,3,9,8.0
68,KRAKÓW-OBSERWATORIUM,2001,3,10,9.0
69,KRAKÓW-OBSERWATORIUM,2001,3,11,8.3
70,KRAKÓW-OBSERWATORIUM,2001,3,12,9.3
71,KRAKÓW-OBSERWATORIUM,2001,3,13,8.9
72,KRAKÓW-OBSERWATORIUM,2001,3,14,5.4
73,KRAKÓW-OBSERWATORIUM,2001,3,15,4.7
74,KRAKÓW-OBSERWATORIUM,2001,3,16,7.0
75,KRAKÓW-OBSERWATORIUM,2001,3,17,6.9
76,KRAKÓW-OBSERWATORIUM,2001,3,18,3.2
77,KRAKÓW-OBSERWATORIUM,2001,3,19,5.8
78,KRAKÓW-OBSERWATORIUM,2001,3,20,1.8
79,KRAKÓW-OBSERWATORIUM,2001,3,21,-1.3
80,KRAKÓW-OBSERWATORIUM,2001,3,22,1.4
81,KRAKÓW-OBSERWATORIUM,2001,3,23,3.4
82,KRAKÓW-OBSERWATORIUM,2001,3,24,3.6
83,KRAKÓW-OBSERWATORIUM,2001,3,25,3.6
84,KRAKÓW-OBSERWATORIUM,2001,3,26,0.0
85,KRAKÓW-OBSERWATORIUM,2001,3,27,-1.2
86,KRAKÓW-OBSERWATORIUM,2001,3,28,-1.1
87,KRAKÓW-OBSERWATORIUM,2001,3,29,1.8
88,KRAKÓW-OBSERWATORIUM,2001,3,30,6.6
89,KRAKÓW-OBSERWATORIUM,2001,3,31,6.0
90,KRAKÓW-OBSERWATORIUM,2001,4,1,9.4
91,KRAKÓW-OBSERWATORIUM,2001,4,2,9.5
92,KRAKÓW-OBSERWATORIUM,2001,4,3,11.8
93,KRAKÓW-OBSERWATORIUM,2001,4,4,12.9
94,KRAKÓW-OBSERWATORIUM,2001,4,5,9.8
95,KRAKÓW-OBSERWATORIUM,2001,4,6,7.7
96,KRAKÓW-OBSERWATORIUM,2001,4,7,11.2
97,KRAKÓW-OBSERWATORIUM,2001,4,8,13.5
98,KRAKÓW-OBSERWATORIUM,2001,4,9,7.3
99,KRAKÓW-OBSERWATORIUM,2001,4,10,5.7
100,KRAKÓW-OBSERWATORIUM,2001,4,11,7.0
101,KRAKÓW-OBSERWATORIUM,2001,4,12,7.7
102,KRAKÓW-OBSERWATORIUM,2001,4,13,2.4
103,KRAKÓW-OBSERWATORIUM,2001,4,14,1.4
104,KRAKÓW-OBSERWATORIUM,2001,4,15,2.8
105,KRAKÓW-OBSERWATORIUM,2001,4,16,7.3
106,KRAKÓW-OBSERWATORIUM,2001,4,17,7.4
107,KRAKÓW-OBSERWATORIUM,2001,4,18,6.8
108,KRAKÓW-OBSERWATORIUM,2001,4,19,8.5
109,KRAKÓW-OBSERWATORIUM,2001,4,20,8.8
110,KRAKÓW-OBSERWATORIUM,2001,4,21,8.6
111,KRAKÓW-OBSERWATORIUM,2001,4,22,5.7
112,KRAKÓW-OBSERWATORIUM,2001,4,23,5.4
113,KRAKÓW-OBSERWATORIUM,2001,4,24,7.1
114,KRAKÓW-OBSERWATORIUM,2001,4,25,11.2
115,KRAKÓW-OBSERWATORIUM,2001,4,26,9.8
116,KRAKÓW-OBSERWATORIUM,2001,4,27,10.8
117,KRAKÓW-OBSERWATORIUM,2001,4,28,12.7
118,KRAKÓW-OBSERWATORIUM,2001,4,29,15.2
119,KRAKÓW-OBSERWATORIUM,2001,4,30,17.5
120,KRAKÓW-OBSERWATORIUM,2001,5,1,19.4
121,KRAKÓW-OBSERWATORIUM,2001,5,2,18.4
122,KRAKÓW-OBSERWATORIUM,2001,5,3,16.4
123,KRAKÓW-OBSERWATORIUM,2001,5,4,18.3
124,KRAKÓW-OBSERWATORIUM,2001,5,5,16.6
125,KRAKÓW-OBSERWATORIUM,2001,5,6,15.0
126,KRAKÓW-OBSERWATORIUM,2001,5,7,12.2
127,KRAKÓW-OBSERWATORIUM,2001,5,8,12.4
128,KRAKÓW-OBSERWATORIUM,2001,5,9,13.2
129,KRAKÓW-OBSERWATORIUM,2001,5,10,14.5
